StartNode;EndNode;Distance;Time;Nodes visited
49246;82948;75318,45;3;2998
16328;7094;233001,2;22;24101
82091;428;119770,1;7;9366
32175;35631;152885,1;10;11938
22351;93657;73582,2;4;5544
23148;3868;32391,86;0;820
24809;5380;50099,41;1;1521
41638;6492;420206,4;65;74746
89086;112306;100370,7;5;7092
87490;45556;373517,1;62;71521
63798;15128;307135,6;47;54547
65780;5105;390895,4;76;72882
105756;77093;214853;22;26962
104332;71525;289383,3;40;44168
68306;107048;124551,6;8;9629
63404;39447;237715,3;43;48738
68613;76053;243667,3;18;22080
4709;109039;79178,56;7;8469
82341;113244;186255,6;14;17093
20767;97966;172383,6;12;14267
43272;99202;104643,2;4;5868
41027;69311;292925,7;36;41448
104671;95407;172587,1;15;18995
7447;46534;158115,8;23;13466
17018;107329;348855,5;51;57914
81107;34117;189961,4;27;30591
40730;108434;352524,9;46;53901
55006;76985;38052,02;9;10264
8364;68774;176382,1;13;14265
44991;64518;357161;56;51675
25351;29791;284498,5;48;50542
54155;99054;71649,49;9;10219
50458;79276;263614,7;42;32069
1782;93738;203153,4;14;17015
29964;87938;159697;23;25546
24788;79523;223079,4;22;26511
85548;56707;260177,1;32;38080
94250;110160;166893,2;13;15473
51728;46644;73152,48;8;9943
86113;8924;319205,7;36;41345
64077;21772;19270,18;1;2127
90030;69767;296782,8;49;57720
35323;9967;393976,7;69;73342
54033;5356;147796,8;12;13451
104879;65684;376285,9;74;81441
52975;92445;352082,1;81;83617
73851;11236;212896,4;18;19802
15155;81706;102793;3;4755
93625;27401;122447,7;9;10630
16569;42772;183469,5;13;16698
82540;1583;171253,5;12;14832
62261;97714;55583,48;3;3813
14183;58537;285251,5;22;25708
25256;75411;121416,4;9;10613
96352;36066;78924,48;3;4054
440;3578;342061,7;70;59941
53453;98080;158379,2;12;13452
27022;15963;168253,3;15;16927
43953;105506;277674,3;49;54258
39704;24608;302303,5;29;34046
96750;72795;73007,02;11;12617
26548;106794;38719,05;1;1560
96548;83014;296445,6;50;54424
95005;83714;301538,8;55;60697
37992;60719;157393;9;11385
28991;36676;82194,63;5;5795
5203;47257;393458,8;92;87137
100919;70447;107662,8;4;5120
85926;51301;249992,6;35;39886
109476;109188;33632,51;0;1000
93791;29468;112939,5;6;8026
83024;16908;82034,41;6;7061
92005;70272;315559,5;55;62590
71474;30767;299480,7;47;53868
54683;106381;51332,26;10;12381
101389;105653;287302,8;42;47029
59713;9744;290483,4;21;24789
88727;69158;80445,45;5;6806
1165;44860;189433,3;17;16588
77224;55234;20313,94;0;208
37419;35633;343221,3;62;62159
7075;77455;80477,79;6;7672
112067;6195;151098,8;12;14316
110853;70267;90203,18;3;4707
43728;106344;159782,2;12;14754
44509;67282;286231;32;36228
103463;9639;176839,3;16;19147
14788;26275;255827;21;25381
11539;64237;85770,17;15;18183
29030;45302;100610;5;7154
79277;40872;447496,3;63;73469
48979;13241;257134,2;25;29964
101236;91174;194029,9;37;32143
95411;16767;95248,13;17;5824
50135;64615;198274,4;44;18054
31964;38556;118943,3;18;6597
105740;47390;248086,4;92;34644
9833;14549;151804,5;6;7809
71897;65279;213964;23;27213
33605;98108;135314,9;4;5226
62653;102481;320713,2;50;57929
105781;57181;181259,2;6;7428
61144;106123;283810,3;22;26143
19972;79088;23814,81;1;1546
54370;88581;127714,8;9;10448
33320;12986;271594,7;44;50218
26203;105808;270814,9;48;55621
70048;79894;243843,1;40;31919
28476;98825;14674;3;3981
18651;19678;349532,3;60;67784
88547;26961;248052,9;27;31740
56208;45105;19557,93;0;201
12242;5952;293583,5;52;60017
75233;56072;223088,9;27;33135
113497;239;94365,62;4;6360
68070;59952;228597,8;34;39491
30632;44614;107966,5;7;9229
96341;90487;244209;28;34847
65789;108804;36959,59;1;1437
71201;16323;99158,45;18;7492
76089;75246;25885,16;5;5717
31295;18978;15307,77;0;222
12353;113623;194033,1;26;29036
91034;43631;183235,3;12;14687
99764;86764;75324,16;4;4823
46627;13926;97846,67;3;4381
9561;35692;164950,5;8;9744
46273;60675;444810,4;83;91962
44938;55191;386906,7;63;73052
30890;77592;95139,84;1;2547
79283;54130;61427,04;1;2361
20511;87059;74334,47;2;3289
96045;95281;161175;25;23248
9467;93252;136843,3;8;9671
31111;36679;139562,2;5;6989
33035;23539;43097,2;1;1253
62168;72224;121452,1;5;6496
64563;94654;354738,6;65;73856
13810;106956;139416,2;9;11031
