StartNode;EndNode;Distance;Time;Nodes visited
204799;687069;49634,16;10;9495
704534;1480973;296532,6;380;153069
1213307;1651633;256897,2;233;102314
1157917;140572;804847,3;904;590764
23242;765164;85390,07;35;31325
1079961;56795;305941,8;188;159883
594556;498776;364870,6;199;179027
1302113;989629;596824,8;713;447610
1155162;650022;430287,2;345;273103
1142888;1207692;598651,5;603;362401
96422;505864;807336,9;1604;1021368
216053;380557;647226;1019;524136
237699;1160288;320920,5;103;90548
1570121;1285259;201506,3;75;70503
667858;255643;353932,6;352;209133
1028252;1438270;385766,7;387;291938
347944;553816;315233,8;152;123098
332778;610974;256929,8;205;110468
208094;1605543;274731,6;217;178133
1277320;25745;243097,6;147;130496
454976;906584;79453,98;18;18691
1344092;792622;571545,7;967;608262
432276;1703743;519837,8;309;263743
852711;1528363;437630,6;295;170863
678447;1357538;378076,3;125;107727
1563385;1395566;415911,1;405;311462
746465;801863;965916,9;2164;1103408
609361;1690898;544135,2;1035;717273
596032;1113448;436619,1;249;196683
1532343;153209;858050,4;1387;721111
1327181;1742266;368884,9;303;242931
189766;414663;320518,9;190;166599
511071;600461;602145,7;1294;808803
238699;1581678;228921,5;61;54316
1608930;1648724;511384,6;452;345822
1619779;437895;189115,8;107;62050
310609;934437;365459,7;201;166964
906371;1168029;163148,6;46;43809
1692879;278555;108834,8;30;29961
307577;41758;248326;135;120559
606812;1054919;362251,2;403;157738
436856;1377284;349707,5;170;136447
691805;1290679;272858,7;103;85018
1689054;386479;60455,18;19;19320
14942;839245;310622,2;165;129602
73199;1124111;524576,3;450;288643
443163;457308;212948,9;65;63318
716817;929429;989676,3;1095;772335
407619;325801;430721,6;315;251005
1192671;252249;436606,7;290;183135
1289663;841368;84924,61;11;11098
1493206;1659259;353359,9;312;248238
1520385;308569;264686,8;148;130573
491254;1419522;535974,9;561;357894
784526;1172601;365444,2;222;187931
1165167;1253787;740546,1;1107;604025
1590230;1285422;215552,2;117;94266
1135454;879446;156466,4;20;16953
1722405;752317;119172,4;17;14848
1159268;964990;621721,5;813;430219
656005;1596819;614010,8;793;489892
1566736;769685;630033,9;664;469766
1575525;495668;92008,02;72;28792
1739331;1597899;212388,3;110;92320
217620;1721540;306217,3;220;177008
760410;1367077;50130,28;6;7353
830483;55327;180524,3;116;104092
496694;1510042;431445,2;866;368823
1306312;522196;339007,8;214;150491
1601498;383235;757950,4;720;454167
799424;269532;757822,2;1142;685855
1346551;586939;151102,5;126;92296
1418676;564010;568526,8;1184;711385
1278479;902339;804976,9;682;507858
1066453;1581970;546972,1;942;394615
