StartNode;EndNode;Distance;Time;Nodes visited
110664;1395;304405,7;120;236295
63674;43860;262262,8;108;230652
87394;30525;221090,4;88;193863
34347;2712;111913;24;49267
11462;5238;151760;55;106279
94136;26299;184294,6;78;129541
74585;62329;459621,4;147;303163
57371;96955;55555,63;24;51530
67634;61426;116673,1;46;98257
77935;113484;159221,1;60;128815
70490;65326;126976;40;79054
96723;19484;122586,4;37;76108
109065;79416;263985,3;81;174639
100671;65169;286806,1;129;277760
15941;84129;154355,3;41;91930
59013;17142;296236;118;239726
44051;83640;380558,6;151;277568
39582;24529;352590,9;149;303126
104167;102240;158840,7;42;84231
17505;78445;125605,6;39;79481
38600;49359;153048,9;29;58774
106952;11054;224913;119;221591
110055;36594;100297,7;33;33839
1577;75914;302259,3;219;280959
40428;38684;165626,6;48;104724
18749;18715;275806,3;110;233006
83318;45338;176878,9;54;115357
18363;44190;229644,3;130;244466
48486;7977;61802,99;12;24624
100462;41025;71047,48;21;43384
59917;76994;398433,4;152;302153
95940;104637;356779,2;141;296443
22746;32842;149165;44;96670
106480;79085;348115,7;155;302084
43921;113182;149914,7;54;111208
74884;21130;280708,6;95;206101
72066;85669;465926,8;140;303046
23120;72470;110097,1;23;44026
77839;24757;72100,19;22;32985
6790;110784;280514,8;107;220796
43701;20328;207995,9;87;180900
112085;25335;188994,4;60;119669
321;107936;100659;23;49379
6165;59976;153381;28;61293
53754;9527;301769,3;127;266569
34899;69422;426997;153;302908
62588;65926;243604;90;191743
64829;33061;100191,1;21;45941
54346;10632;5007,667;1;2958
53168;25536;328927,7;91;198666
26061;75034;101569;38;84413
57523;62188;293903,6;143;271073
86963;46386;24202,66;2;5362
21070;89708;288296,5;134;281258
43830;18788;113090,1;27;57315
111015;39588;278655,7;116;230972
78600;70604;221748,1;95;193565
104315;28501;136278,2;37;59289
26676;46503;147347,9;38;83490
25331;34394;86645,23;40;83665
78282;5461;137985,2;30;59835
72233;6139;186214,5;57;115574
20840;103750;447725,9;141;302673
18123;67207;264737,7;115;233315
85281;94945;104840,2;21;44993
84722;82359;303229,2;135;283632
25566;92826;87669,19;35;76827
81503;51825;197839,4;68;145978
20973;73471;90111,68;26;56967
38906;77737;157164,7;65;139130
79388;16110;324092,7;188;289550
107036;72910;86821,8;70;66975
68603;25241;156455,5;84;139014
68153;97433;295329,1;134;279784
20008;24666;264477;91;196832
112552;93249;317056,3;101;222357
49703;74060;416741,5;152;303320
54668;52062;275011,8;139;290586
103646;80824;109193,6;34;76249
25546;31012;132118,3;36;80069
71584;90315;222281,4;120;246964
47199;94824;207812,6;79;165021
18647;28656;49751,02;9;20542
14022;99466;42129,48;5;11340
102793;52489;440316,9;142;302860
7528;66896;276741,5;92;199552
7597;61285;313617,4;147;286383
68697;62171;154761;42;90159
12117;113015;136320,7;34;74686
51227;109291;173230,9;49;105136
35596;34381;239563,8;125;254729
47198;60614;410008,8;141;302803
96085;105164;40518,51;18;38471
32655;65197;104687,8;44;67906
38157;29441;6288,46;4;8639
61871;53840;267568,8;112;231387
