StartNode;EndNode;Distance;Time;Nodes visited
84875;103903;238445,8;86;240554
12968;46576;239583,6;48;143726
17615;72877;201227,1;71;177850
33683;79306;146360,4;30;89875
63017;102544;467307,1;85;260885
96621;102875;368834,9;80;246289
112444;67586;176726;44;126116
31891;51328;217872,8;226;222884
54504;46449;198003,8;66;186805
557;89129;171659,9;64;189589
31941;51055;69616,46;23;67191
64536;74258;411183,6;87;249931
66843;88680;330166,8;72;197904
23557;97051;348562,8;82;246807
72869;37788;166225,1;60;182863
46498;77196;336683,5;101;260503
67904;166;178743,9;25;79031
44195;108601;69586,16;22;66858
109133;92948;222532,3;82;236169
77489;26295;156947,5;35;106767
110156;18770;139075,4;61;136678
32794;39223;284490;55;165242
70650;105018;253441,8;56;171490
29571;34283;255699,2;74;216101
10427;110574;93263,2;26;80406
63394;47927;241516,2;115;284455
95732;57048;106295;30;84566
6034;58695;151971,8;51;140949
55749;79658;257722,4;92;270085
29675;58832;356156,6;93;230595
56377;35248;361310,6;102;297097
113374;31724;35745,12;13;41193
51008;21301;234569,9;214;218623
11640;5645;236025,6;93;269693
54590;21738;106671,8;32;96419
45938;25313;271904,7;70;209807
3607;75516;122279,8;30;67621
59108;102965;111390,9;30;87821
27360;49616;305163,3;86;253296
7969;34083;348918,3;82;250724
50463;109959;297111,3;77;189339
12869;52084;94099,08;30;91503
86913;18793;91323,06;27;82331
84237;30497;439646;82;250424
102786;87654;117433,7;40;112163
96537;35402;59257,02;9;23801
105336;111538;106005,9;20;53024
27149;60733;289363,7;81;194638
57958;102818;120161,9;15;46452
98933;63581;243552,4;92;271808
92921;41655;128843,5;35;103181
1989;70418;108422,8;41;121208
53441;44209;112567,3;42;86066
113278;66475;262461,8;51;155793
102935;65772;187611,8;65;186361
31471;6761;204495,9;88;259772
27279;79291;177944,6;37;112849
94952;10866;335368,4;100;253571
46724;112615;130879,2;32;99389
35099;24092;149617,4;46;101062
32643;71975;183538;42;119992
42467;81897;119023;35;102297
83872;61261;213876;89;259428
75816;29681;125810,2;24;76286
19636;38234;389237,3;106;275113
64374;58079;29556,28;2;7642
54853;8808;98707,55;32;95123
107970;56143;58833,14;3;12566
112335;42704;249222,5;94;275488
19206;17761;257036,7;50;150989
41254;37014;43580,89;18;53855
56182;89776;297206;81;199907
8123;26045;289086,1;66;197492
14008;59034;423328,7;80;240059
28481;68829;266319,5;97;251709
9011;43705;96092,52;25;77409
27950;85235;191201,5;66;198638
74029;52017;259485,6;45;137913
104351;73253;326852,3;138;263487
46135;106929;56563,7;20;21004
24437;86144;246984,6;141;222217
16587;104273;280483,1;58;173426
279;5374;274809,3;55;166580
87332;17338;41835,13;5;18408
96529;109321;34303,53;5;16158
15793;66383;37188,8;17;49388
73774;57826;151356,1;64;145879
44675;59533;160106,3;60;172110
15673;74293;71882,37;18;56508
97186;71980;411333,3;96;289139
29598;99716;55213,35;14;42029
113488;64265;326440;84;214734
28192;27100;311149,2;70;201028
82366;80881;24443,46;10;28776
