StartNode;EndNode;Distance;Time;Nodes visited
49246;82948;75318,45;16;12735
16328;7094;233001,2;3;2953
82091;428;119770,1;20;6828
32175;35631;152885,1;8;6618
22351;93657;73582,2;1;1318
23148;3868;32391,86;0;601
24809;5380;50099,41;5;4259
41638;6492;420206,4;41;34277
89086;112306;100370,7;9;8408
87490;45556;373517,1;23;18581
63798;15128;307135,6;11;9298
65780;5105;390895,4;36;31272
105756;77093;214853;12;10448
104332;71525;289383,3;126;83307
68306;107048;124551,6;16;12496
63404;39447;237715,3;15;12939
68613;76053;243667,3;95;76473
4709;109039;79178,56;21;18469
82341;113244;186255,6;10;8596
20767;97966;172383,6;6;5730
43272;99202;104643,2;6;5641
41027;69311;292925,7;19;16720
104671;95407;172587,1;0;902
7447;46534;158115,8;88;52515
17018;107329;348855,5;43;32169
81107;34117;189961,4;17;13359
40730;108434;352524,9;32;25257
55006;76985;38052,02;24;19288
8364;68774;176382,1;29;23020
44991;64518;357161;43;36911
25351;29791;284498,5;74;37821
54155;99054;71649,49;1;1542
50458;79276;263614,7;43;34327
1782;93738;203153,4;5;4465
29964;87938;159697;5;3786
24788;79523;223079,4;13;10460
85548;56707;260177,1;24;20870
94250;110160;166893,2;15;12649
51728;46644;73152,48;4;3539
86113;8924;319205,7;38;33314
64077;21772;19270,18;0;270
90030;69767;296782,8;20;18125
35323;9967;393976,7;189;52940
54033;5356;147796,8;14;3637
104879;65684;376285,9;29;23753
52975;92445;352082,1;25;21178
73851;11236;212896,4;7;6016
15155;81706;102793;1;1102
93625;27401;122447,7;8;7305
16569;42772;183469,5;18;15420
82540;1583;171253,5;5;4447
62261;97714;55583,48;10;7897
14183;58537;285251,5;20;17110
25256;75411;121416,4;5;4622
96352;36066;78924,48;6;5776
440;3578;342061,7;129;80485
53453;98080;158379,2;5;4380
27022;15963;168253,3;9;7821
43953;105506;277674,3;41;32278
39704;24608;302303,5;44;36590
96750;72795;73007,02;32;25454
26548;106794;38719,05;8;7158
96548;83014;296445,6;22;18227
95005;83714;301538,8;46;28875
37992;60719;157393;21;7947
28991;36676;82194,63;0;351
5203;47257;393458,8;26;19936
100919;70447;107662,8;6;5070
85926;51301;249992,6;35;24825
109476;109188;33632,51;1;968
93791;29468;112939,5;4;3314
83024;16908;82034,41;10;7809
92005;70272;315559,5;3;2771
71474;30767;299480,7;21;17785
54683;106381;51332,26;24;18531
101389;105653;287302,8;2;1842
59713;9744;290483,4;6;5758
88727;69158;80445,45;6;5300
1165;44860;189433,3;9;8325
77224;55234;20313,94;0;86
37419;35633;343221,3;50;35357
7075;77455;80477,79;0;534
112067;6195;151098,8;36;19937
110853;70267;90203,18;0;470
43728;106344;159782,2;6;5104
44509;67282;286231;1;1574
103463;9639;176839,3;10;8836
14788;26275;255827;18;15190
11539;64237;85770,17;19;14895
29030;45302;100610;5;4803
79277;40872;447496,3;55;45639
48979;13241;257134,2;22;19649
101236;91174;194029,9;8;7316
95411;16767;95248,13;6;6006
50135;64615;198274,4;3;3370
31964;38556;118943,3;4;3397
105740;47390;248086,4;65;36486
9833;14549;151804,5;13;11388
71897;65279;213964;20;17077
33605;98108;135314,9;3;2789
62653;102481;320713,2;22;18491
105781;57181;181259,2;10;8415
61144;106123;283810,3;30;25703
19972;79088;23814,81;1;1517
54370;88581;127714,8;0;776
33320;12986;271594,7;1;1149
26203;105808;270814,9;14;13038
70048;79894;243843,1;11;10227
28476;98825;14674;4;3951
18651;19678;349532,3;36;25887
88547;26961;248052,9;26;12342
56208;45105;19557,93;0;68
12242;5952;293583,5;9;7646
75233;56072;223088,9;37;30732
113497;239;94365,62;2;2412
68070;59952;228597,8;13;11000
30632;44614;107966,5;2;2303
96341;90487;244209;7;6527
65789;108804;36959,59;0;606
71201;16323;99158,45;0;745
76089;75246;25885,16;3;3087
31295;18978;15307,77;0;117
12353;113623;194033,1;9;8112
91034;43631;183235,3;12;10950
99764;86764;75324,16;20;17442
46627;13926;97846,67;2;2184
9561;35692;164950,5;29;25306
46273;60675;444810,4;48;25072
44938;55191;386906,7;44;35852
30890;77592;95139,84;1;1472
79283;54130;61427,04;0;239
20511;87059;74334,47;2;2207
96045;95281;161175;41;33952
9467;93252;136843,3;1;1052
31111;36679;139562,2;2;2198
33035;23539;43097,2;0;281
62168;72224;121452,1;4;3739
64563;94654;354738,6;18;15904
13810;106956;139416,2;3;3415
78729;69866;185676,1;9;7818
14166;94997;318597,8;36;28886
13325;16705;172530,7;20;17130
35053;60649;274723,9;76;44691
44214;101799;397235,2;33;27429
60551;10598;93945,49;6;4937
77913;107301;30757,72;0;161
50731;21958;130281,9;6;5137
54734;57927;145764,8;8;7068
36624;30764;229932,2;43;35416
104156;111474;280781,9;0;730
12519;63085;42647,81;2;2228
53729;23087;384328,7;47;40603
65449;51029;94726,15;1;1363
84820;65310;94739,57;4;3861
