StartNode;EndNode;Distance;Time;Nodes visited
331984;240235;473119,3;259;60967
1330657;1377019;979878,1;225;137872
869718;1493767;683960,8;121;78475
650495;108182;35720,79;5;4423
864593;154295;753281,2;81;55800
1270232;345076;528167,1;82;33627
1568244;1312286;677462,2;79;48181
856576;1326010;922604,4;502;306636
861665;511516;14605,02;0;593
1599615;398292;384754,3;57;30009
1493788;1641745;68713,87;2;1955
1152398;1419207;493968,7;86;57600
1512894;1392009;834781,8;231;161927
732778;211241;102771,1;24;19847
1065523;1369867;762740,9;170;116113
304607;527817;529618,6;186;42907
1563069;1049958;448323,2;252;44533
604572;923666;521910,2;128;77693
135751;195775;402384,8;21;17324
428640;1214352;277919,3;29;23864
813682;487363;99372,47;4;3919
1247074;23471;354923,6;9;8674
1227446;1087293;627478,5;134;94073
774640;922531;289459,4;2;2055
674757;732405;285543,1;20;16765
1093449;338031;531905,6;333;152384
1088235;193528;379065,7;18;13723
132310;922879;609979,9;119;87319
1207079;613334;292229,1;17;15187
85573;913058;86627,2;1;1147
1152811;269742;182950,6;33;28277
1337349;6307;401272,6;11;10071
1438744;1653266;395969,8;84;53334
980722;1446834;461143,6;104;44905
1301511;59456;828915,2;58;46472
751690;326475;469719,7;157;114189
1025121;1669481;256762,9;31;26916
1143098;1006424;315038,9;13;12211
394670;1128927;692648,5;148;119891
191761;425601;347993,4;82;35484
617369;1554845;534065,7;168;115741
1281083;333117;234573,7;12;10696
276417;1711174;555845,3;5;5477
1184181;1369541;281150,8;27;21809
917647;1426292;477884,3;8;7079
1461186;1267016;502590,3;98;73310
110201;1260180;175787,3;13;10716
61541;543939;684057,9;426;231424
894613;1240767;530020,1;29;22896
329325;1318778;910324,6;230;155261
106571;1072405;493301,5;111;83855
1365619;615300;515792,2;219;87694
1725313;766974;279593,2;65;45950
1057509;1163352;148298,2;15;12455
795029;870484;625193,1;12;10526
528208;78152;144122,4;1;1035
421572;1404571;297933,5;38;30305
295689;1342564;574629,1;72;53683
733258;1004231;380149,9;29;21666
1474488;1472168;709905,1;88;68561
469084;1355779;622782,9;477;265019
529186;1619817;904346,4;98;71957
342868;1229273;1016995;384;248769
216273;1509539;578461,6;258;93609
1607940;599158;460598,9;58;47473
111811;898501;325763,6;15;12982
799601;617581;290210,1;82;67851
